file_name,condition_actual
01E392EE-69F9-4E33-BFCE-E5C968654078.jpeg,COVID19
03BF7561-A9BA-4C3C-B8A0-D3E585F73F3C.jpeg,COVID19
1-s2.0-S0140673620303706-fx1_lrg.jpg,COVID19
1-s2.0-S0929664620300449-gr2_lrg-a.jpg,COVID19
1-s2.0-S0929664620300449-gr2_lrg-b.jpg,COVID19
1-s2.0-S0929664620300449-gr2_lrg-c.jpg,COVID19
1-s2.0-S0929664620300449-gr2_lrg-d.jpg,COVID19
1-s2.0-S1684118220300608-main.pdf-001.jpg,COVID19
1-s2.0-S1684118220300608-main.pdf-002.jpg,COVID19
1-s2.0-S1684118220300682-main.pdf-002-a1.png,COVID19
1-s2.0-S1684118220300682-main.pdf-002-a2.png,COVID19
1-s2.0-S1684118220300682-main.pdf-003-b1.png,COVID19
1-s2.0-S1684118220300682-main.pdf-003-b2.png,COVID19
1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-000-fig1a.png,COVID19
1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-001-fig2b.png,COVID19
1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-002-fig3a.png,COVID19
1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-002-fig3b.png,COVID19
1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-003-fig4a.png,COVID19
1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-003-fig4b.png,COVID19
1312A392-67A3-4EBF-9319-810CF6DA5EF6.jpeg,COVID19
16654_1_1.png,COVID19
16654_2_1.jpg,COVID19
16654_4_1.jpg,COVID19
16660_1_1.jpg,COVID19
16660_2_1.jpg,COVID19
16660_3_1.jpg,COVID19
16660_4_1.jpg,COVID19
16663_1_1.jpg,COVID19
16664_1_1.jpg,COVID19
16669_1_1.jpeg,COVID19
16669_3_1.jpeg,COVID19
16672_1_1.jpg,COVID19
16674_1_1.jpg,COVID19
16691_1_1.jpg,COVID19
171CB377-62FF-4B76-906C-F3787A01CB2E.jpeg,COVID19
1B734A89-A1BF-49A8-A1D3-66FAFA4FAC5D.jpeg,COVID19
2-chest-filmc.jpg,COVID19
23E99E2E-447C-46E5-8EB2-D35D12473C39.png,COVID19
2966893D-5DDF-4B68-9E2B-4979D5956C8E.jpeg,COVID19
2B8649B2-00C4-4233-85D5-1CE240CF233B.jpeg,COVID19
2C10A413-AABE-4807-8CCE-6A2025594067.jpeg,COVID19
2C26F453-AF3B-4517-BB9E-802CF2179543.jpeg,COVID19
31BA3780-2323-493F-8AED-62081B9C383B.jpeg,COVID19
353889E0-A1E8-4F9E-A0B8-F24F36BCFBFB.jpeg,COVID19
39EE8E69-5801-48DE-B6E3-BE7D1BCF3092.jpeg,COVID19
4-x-day1.jpg,COVID19
4-x-day13.jpg,COVID19
4-x-day4.jpg,COVID19
4-x-day8.jpg,COVID19
41591_2020_819_Fig1_HTML.webp-day10.png,COVID19
41591_2020_819_Fig1_HTML.webp-day5.png,COVID19
446B2CB6-B572-40AB-B01F-1910CA07086A.jpeg,COVID19
